"Date","Price","Open","High","Low","Change %"
"09/23/2025","2.881","3.119","3.119","2.881","-7.69%"
"09/22/2025","3.121","2.709","3.121","2.709","15.12%"
"09/19/2025","2.711","2.749","2.880","2.711","-1.45%"
"09/18/2025","2.751","2.819","2.890","2.751","-2.45%"
"09/17/2025","2.820","2.780","2.850","2.712","1.48%"
"09/16/2025","2.779","2.900","2.900","2.740","-4.21%"
"09/15/2025","2.901","2.720","2.910","2.680","6.69%"
"09/12/2025","2.719","2.741","2.750","2.651","-0.77%"
"09/11/2025","2.740","2.629","2.750","2.629","4.22%"
"09/10/2025","2.629","2.691","2.730","2.629","-2.27%"
"09/09/2025","2.690","2.650","2.730","2.590","1.55%"
"09/08/2025","2.649","2.649","2.649","2.649","1.11%"
"09/05/2025","2.620","2.700","2.700","2.620","-3.64%"
"09/04/2025","2.719","2.700","2.719","2.700","0.74%"
"09/03/2025","2.699","2.731","2.731","2.630","-1.10%"
"09/02/2025","2.729","2.521","2.729","2.521","7.82%"
"09/01/2025","2.531","2.569","2.569","2.531","-1.52%"
"08/29/2025","2.570","2.480","2.570","2.431","3.71%"
"08/28/2025","2.478","2.530","2.530","2.449","-2.48%"
"08/27/2025","2.541","2.530","2.610","2.530","0.36%"
"08/26/2025","2.532","2.260","2.532","2.239","12.58%"
"08/25/2025","2.249","2.241","2.310","2.241","0.36%"
