"Date","Price","Open","High","Low","Change %"
"09/23/2025","3.218","3.208","3.218","3.208","0.31%"
"09/22/2025","3.208","3.170","3.215","3.170","1.20%"
"09/19/2025","3.170","3.108","3.170","3.108","1.99%"
"09/18/2025","3.108","3.085","3.131","3.085","0.75%"
"09/17/2025","3.085","3.086","3.086","3.079","-0.03%"
"09/16/2025","3.086","3.147","3.147","3.086","-1.94%"
"09/15/2025","3.147","3.095","3.147","3.095","1.68%"
"09/12/2025","3.095","3.094","3.095","3.084","0.03%"
"09/11/2025","3.094","3.103","3.103","3.093","-0.29%"
"09/10/2025","3.103","3.113","3.113","3.103","-0.03%"
"09/09/2025","3.104","3.189","3.189","3.086","-2.67%"
"09/08/2025","3.189","3.189","3.189","3.189","0.00%"
"09/05/2025","3.189","3.223","3.223","3.161","-1.05%"
"09/04/2025","3.223","3.244","3.244","3.206","-0.65%"
"09/03/2025","3.244","3.205","3.244","3.205","0.65%"
"09/02/2025","3.223","3.215","3.223","3.205","0.25%"
"09/01/2025","3.215","3.215","3.215","3.214","0.00%"
"08/29/2025","3.215","3.219","3.238","3.215","-0.12%"
"08/28/2025","3.219","3.313","3.313","3.219","-2.84%"
"08/27/2025","3.313","3.269","3.313","3.269","1.35%"
"08/26/2025","3.269","3.242","3.278","3.242","0.83%"
"08/25/2025","3.242","3.254","3.254","3.223","-0.37%"
